Course_ID,Course_Duration,Course_Duration_MOOC,Course_Duration_Lecture,Year,Courses_perYear,Hybridation_Level
1,69,40,29,2011,2666,Medium-High Hybridation
2,75,11,64,2011,2666,Low Hybridation
3,54,29,25,2011,2666,Medium-High Hybridation
4,27,6,21,2011,2666,Medium-Low Hybridation
5,12,7,5,2011,2666,Medium-High Hybridation
6,26,19,7,2011,2666,Medium-High Hybridation
7,16,2,14,2011,2666,Low Hybridation
8,12,8,4,2011,2666,Medium-High Hybridation
9,28,4,24,2011,2666,Low Hybridation
10,12,12,0,2011,2666,High Hybridation
11,25,0,25,2011,2666,Low Hybridation
12,28,20,8,2011,2666,Medium-High Hybridation
13,12,11,1,2011,2666,High Hybridation
14,28,1,27,2011,2666,Low Hybridation
15,52,40,12,2011,2666,Medium-High Hybridation
16,27,21,6,2011,2666,Medium-High Hybridation
17,60,29,31,2011,2666,Medium-Low Hybridation
18,18,7,11,2011,2666,Medium-Low Hybridation
19,29,13,16,2011,2666,Medium-Low Hybridation
20,14,3,11,2011,2666,Medium-Low Hybridation
21,37,18,19,2011,2666,Medium-Low Hybridation
22,22,16,6,2011,2666,Medium-High Hybridation
23,49,4,45,2011,2666,Low Hybridation
24,19,2,17,2011,2666,Low Hybridation
25,35,23,12,2011,2666,Medium-High Hybridation
26,55,15,40,2011,2666,Medium-Low Hybridation
27,14,4,10,2011,2666,Medium-Low Hybridation
28,65,20,46,2011,2666,Medium-Low Hybridation
29,11,2,9,2011,2666,Low Hybridation
30,43,31,12,2011,2666,Medium-High Hybridation
31,49,38,11,2011,2666,Medium-High Hybridation
32,86,17,69,2011,2666,Low Hybridation
33,82,36,46,2011,2666,Medium-Low Hybridation
34,26,8,18,2011,2666,Medium-Low Hybridation
35,31,28,3,2011,2666,High Hybridation
36,45,14,31,2011,2666,Medium-Low Hybridation
37,77,62,15,2011,2666,High Hybridation
38,23,10,13,2011,2666,Medium-Low Hybridation
39,34,10,24,2011,2666,Medium-Low Hybridation
40,79,67,12,2011,2666,High Hybridation
41,23,1,22,2011,2666,Low Hybridation
42,19,15,4,2011,2666,Medium-High Hybridation
43,29,16,13,2011,2666,Medium-High Hybridation
44,21,13,8,2011,2666,Medium-High Hybridation
45,20,16,4,2011,2666,Medium-High Hybridation
46,38,28,10,2011,2666,Medium-High Hybridation
47,17,5,12,2011,2666,Medium-Low Hybridation
48,39,32,7,2011,2666,High Hybridation
49,37,27,10,2011,2666,Medium-High Hybridation
50,19,18,1,2011,2666,High Hybridation
51,46,26,20,2011,2666,Medium-High Hybridation
52,28,6,22,2011,2666,Medium-Low Hybridation
53,11,2,9,2011,2666,Low Hybridation
54,57,24,33,2011,2666,Medium-Low Hybridation
55,90,68,22,2011,2666,Medium-High Hybridation
56,10,6,4,2011,2666,Medium-High Hybridation
57,56,38,18,2011,2666,Medium-High Hybridation
58,23,15,8,2011,2666,Medium-High Hybridation
59,61,60,1,2011,2666,High Hybridation
60,24,23,1,2011,2666,High Hybridation
61,41,10,31,2011,2666,Medium-Low Hybridation
62,84,3,81,2011,2666,Low Hybridation
63,29,4,25,2011,2666,Low Hybridation
64,26,8,18,2011,2666,Medium-Low Hybridation
