Course_ID,Course_Duration,Course_Duration_MOOC,Year,Courses_perYear,Duration_Video,Duration_Quiz,Duration_Exam,Number_Video,Number_Quiz,Number_Exam,Number_Video_1H,Number_Video_2H,Number_video_3H,Number_Video_4H,Number_Quizz_1H,Number_Quizz_2H,Number_Exam_1H,Number_Exam_2H,Number_Exam_3H,Number_Exam_4H
1,13,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,90,21,2013,2418,7,11,3,3,6,1,1,0,2,0,1,5,0,0,1,0
3,56,35,2013,2418,17,16,2,7,8,2,3,0,2,2,0,8,2,0,0,0
4,51,33,2013,2418,23,9,1,20,8,0,19,0,0,1,7,1,0,0,0,0
5,19,5,2013,2418,2,2,1,1,2,1,0,1,0,0,2,0,1,0,0,0
6,65,57,2013,2418,24,31,2,6,19,1,0,0,0,6,7,12,0,1,0,0
7,15,5,2013,2418,3,2,0,1,2,0,0,0,1,0,2,0,0,0,0,0
8,15,12,2013,2418,6,5,1,4,4,1,2,2,0,0,3,1,1,0,0,0
9,25,24,2013,2418,15,7,2,9,6,1,7,0,0,2,5,1,0,1,0,0
10,28,16,2013,2418,7,6,3,3,5,3,0,2,1,0,4,1,3,0,0,0
11,41,38,2013,2418,28,9,1,19,5,1,12,6,0,1,1,4,1,0,0,0
12,40,6,2013,2418,2,3,1,1,3,1,0,1,0,0,3,0,1,0,0,0
13,40,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
14,33,4,2013,2418,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0
15,52,28,2013,2418,20,5,3,7,4,1,0,2,4,1,3,1,0,0,1,0
16,85,49,2013,2418,37,12,0,10,8,0,0,1,1,8,4,4,0,0,0,0
17,11,6,2013,2418,3,2,1,2,2,0,1,1,0,0,2,0,0,0,0,0
18,70,37,2013,2418,12,22,3,9,16,2,8,0,0,1,10,6,1,1,0,0
19,18,8,2013,2418,3,4,1,2,2,1,1,1,0,0,0,2,1,0,0,0
20,38,3,2013,2418,1,2,0,1,2,0,1,0,0,0,2,0,0,0,0,0
21,18,7,2013,2418,3,3,1,2,2,1,1,1,0,0,1,1,1,0,0,0
22,28,9,2013,2418,2,5,2,2,5,1,2,0,0,0,5,0,0,1,0,0
23,14,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24,13,5,2013,2418,2,2,1,1,1,1,0,1,0,0,0,1,1,0,0,0
25,16,14,2013,2418,9,4,1,7,3,1,6,0,1,0,2,1,1,0,0,0
26,58,50,2013,2418,31,18,1,23,14,0,19,0,4,0,10,4,0,0,0,0
27,12,12,2013,2418,5,6,1,3,4,0,2,0,1,0,2,2,0,0,0,0
28,78,14,2013,2418,8,6,0,5,4,0,2,3,0,0,2,2,0,0,0,0
30,10,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
31,22,5,2013,2418,2,2,1,2,2,0,2,0,0,0,2,0,0,0,0,0
32,32,22,2013,2418,8,12,2,6,9,1,5,0,1,0,6,3,0,1,0,0
33,10,4,2013,2418,1,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0
34,11,9,2013,2418,5,3,1,2,3,1,1,0,0,1,3,0,1,0,0,0
35,24,12,2013,2418,7,4,1,3,3,0,1,0,2,0,2,1,0,0,0,0
36,55,43,2013,2418,20,21,2,11,11,1,4,5,2,0,1,10,0,1,0,0
37,34,4,2013,2418,1,2,1,1,2,1,1,0,0,0,2,0,1,0,0,0
38,14,9,2013,2418,6,2,1,3,2,1,1,1,1,0,2,0,1,0,0,0
39,32,22,2013,2418,12,8,2,4,7,2,0,1,2,1,6,1,2,0,0,0
40,40,32,2013,2418,18,12,2,7,7,1,2,2,0,3,2,5,0,1,0,0
41,78,56,2013,2418,41,12,3,39,8,1,37,2,0,0,4,4,0,0,1,0
42,12,11,2013,2418,4,4,3,4,4,2,4,0,0,0,4,0,1,1,0,0
43,10,9,2013,2418,4,4,1,3,3,1,2,1,0,0,2,1,1,0,0,0
44,12,11,2013,2418,3,6,2,2,5,2,1,1,0,0,4,1,2,0,0,0
45,28,6,2013,2418,4,2,0,1,2,0,0,0,0,1,2,0,0,0,0,0
46,65,31,2013,2418,17,13,1,12,10,1,8,3,1,0,7,3,1,0,0,0
47,11,7,2013,2418,2,4,1,1,4,1,0,1,0,0,4,0,1,0,0,0
48,10,10,2013,2418,4,6,0,1,5,0,0,0,0,1,4,1,0,0,0,0
49,20,8,2013,2418,5,2,1,1,2,1,0,0,0,0,2,0,1,0,0,0
50,34,4,2013,2418,2,2,0,2,2,0,2,0,0,0,2,0,0,0,0,0
51,26,23,2013,2418,15,5,3,13,4,2,11,2,0,0,3,1,1,1,0,0
52,37,8,2013,2418,3,4,1,2,4,1,1,1,0,0,4,0,1,0,0,0
53,19,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54,36,6,2013,2418,3,3,0,3,2,0,3,0,0,0,1,1,0,0,0,0
55,41,14,2013,2418,10,3,1,4,3,1,2,0,0,2,3,0,1,0,0,0
56,33,29,2013,2418,13,15,1,5,12,1,1,1,2,1,9,3,1,0,0,0
57,60,40,2013,2418,23,16,1,8,11,0,0,1,7,0,6,5,0,0,0,0
58,27,8,2013,2418,3,4,1,1,2,0,0,0,1,0,0,2,0,0,0,0
59,13,9,2013,2418,4,4,1,3,2,1,2,1,0,0,0,2,1,0,0,0
60,27,12,2013,2418,6,5,1,3,4,1,0,3,0,0,3,1,1,0,0,0
61,20,18,2013,2418,8,6,4,4,4,2,0,4,0,0,2,2,0,2,0,0
62,11,3,2013,2418,1,2,0,1,2,0,1,0,0,0,2,0,0,0,0,0
63,13,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64,78,78,2013,2418,51,24,3,45,17,2,39,6,0,0,10,7,1,1,0,0
65,90,12,2013,2418,4,5,3,1,4,2,0,0,0,1,3,1,1,1,0,0
66,13,10,2013,2418,7,3,0,6,2,0,5,1,0,0,1,1,0,0,0,0
67,40,19,2013,2418,11,6,2,9,4,2,8,0,1,0,2,2,2,0,0,0
68,15,12,2013,2418,5,7,0,5,7,0,5,0,0,0,7,0,0,0,0,0
69,27,11,2013,2418,5,5,1,5,3,1,5,0,0,0,1,2,1,0,0,0
70,81,67,2013,2418,34,31,2,13,26,1,2,2,8,1,21,5,0,1,0,0
71,66,12,2013,2418,4,6,2,3,6,2,2,1,0,0,6,0,2,0,0,0
72,11,1,2013,2418,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
73,26,21,2013,2418,6,12,3,2,11,2,0,0,2,0,10,1,1,1,0,0
74,31,3,2013,2418,1,2,0,1,2,0,1,0,0,0,2,0,0,0,0,0
75,22,20,2013,2418,8,11,1,7,9,1,6,1,0,0,7,2,1,0,0,0
76,18,7,2013,2418,2,4,1,1,4,1,0,1,0,0,4,0,1,0,0,0
77,76,36,2013,2418,23,11,2,10,7,1,1,7,0,2,3,4,0,1,0,0
78,49,33,2013,2418,17,12,4,17,6,3,17,0,0,0,0,6,2,1,0,0
79,66,49,2013,2418,22,24,3,21,15,2,20,1,0,0,6,9,1,1,0,0
80,45,18,2013,2418,5,10,3,4,5,3,3,1,0,0,0,5,3,0,0,0
81,19,9,2013,2418,3,5,1,3,3,1,3,0,0,0,1,2,1,0,0,0
82,18,4,2013,2418,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
83,16,11,2013,2418,6,5,0,6,4,0,6,0,0,0,3,1,0,0,0,0
84,15,9,2013,2418,7,2,0,2,2,0,0,0,1,1,2,0,0,0,0,0
85,37,33,2013,2418,18,14,1,9,8,1,3,3,3,0,2,6,1,0,0,0
86,11,5,2013,2418,2,3,0,1,2,0,0,1,0,0,1,1,0,0,0,0
87,81,43,2013,2418,18,22,3,18,20,3,18,0,0,0,18,2,3,0,0,0
88,59,30,2013,2418,19,8,3,16,8,3,15,0,0,1,8,0,3,0,0,0
89,30,5,2013,2418,1,3,1,1,3,1,1,0,0,0,3,0,1,0,0,0
90,11,3,2013,2418,2,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0
92,90,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
93,31,20,2013,2418,13,5,2,12,4,1,11,1,0,0,3,1,0,1,0,0
94,29,20,2013,2418,11,8,1,8,8,1,7,0,0,1,8,0,1,0,0,0
95,85,76,2013,2418,34,40,2,26,38,2,21,3,1,1,36,2,2,0,0,0
96,46,15,2013,2418,11,4,0,8,2,0,5,3,0,0,0,2,0,0,0,0
97,45,45,2013,2418,28,13,4,11,10,3,1,4,5,1,7,3,2,1,0,0
98,13,11,2013,2418,4,4,3,3,3,2,2,1,0,0,2,1,1,1,0,0
99,66,42,2013,2418,27,13,2,22,9,1,19,1,2,0,5,4,0,1,0,0
100,79,9,2013,2418,2,5,2,1,3,1,0,1,0,0,1,2,0,1,0,0
101,37,2,2013,2418,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
102,71,27,2013,2418,13,12,2,12,7,1,11,1,0,0,2,5,0,1,0,0
103,24,18,2013,2418,8,9,1,7,5,1,6,1,0,0,1,4,1,0,0,0
104,73,19,2013,2418,6,9,4,3,8,4,0,3,0,0,7,1,4,0,0,0
105,81,48,2013,2418,24,24,0,13,17,0,5,6,1,1,10,7,0,0,0,0
106,30,18,2013,2418,6,10,2,4,10,2,2,2,0,0,10,0,2,0,0,0
107,17,7,2013,2418,3,3,1,2,2,1,1,1,0,0,1,1,1,0,0,0
108,15,7,2013,2418,4,2,1,3,1,0,2,1,0,0,0,1,0,0,0,0
109,18,15,2013,2418,7,7,1,2,4,0,0,0,1,1,1,3,0,0,0,0
110,23,19,2013,2418,6,9,4,4,9,1,3,0,1,0,9,0,0,0,0,1
111,34,32,2013,2418,15,16,1,10,14,1,5,5,0,0,12,2,1,0,0,0
112,37,14,2013,2418,7,5,2,6,3,1,5,1,0,0,1,2,0,1,0,0
113,25,4,2013,2418,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0
114,14,4,2013,2418,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0
115,12,3,2013,2418,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
